id,dat,tes,cort,,
a,22-Apr-15,1559.678715,312.746988,,
a,6-May-15,542.1579961,149.8034682,,
a,20-May-15,496.2040816,153.3795918,,
a,27-May-15,331.7938144,77.54226804,,
a,3-Jun-15,501.8072289,34.04819277,,
a,10-Jun-15,604.1035857,76.66135458,,
a,17-Jun-15,565.6504065,208.1219512,,
a,24-Jun-15,576.2396694,168,,
a,1-Jul-15,232.5714286,92.86530612,,
a,15-Jul-15,893.8336714,471.5780933,,
a,22-Jul-15,251.7898833,73.72762646,,
a,29-Jul-15,512.1703854,149.7444219,,
a,5-Aug-15,1242.432432,368.5250965,,
a,12-Aug-15,951.7669903,295.1533981,,
a,19-Aug-15,654.2743539,293.0815109,,
a,26-Aug-15,716.988417,196.7953668,,
b,22-Apr-15,1148.516378,107.6300578,,
b,6-May-15,1097.654076,262.1630219,,
b,20-May-15,1387.222222,304.6190476,,
b,27-May-15,605.4724409,130.1338583,,
b,3-Jun-15,2356.356275,289.8461538,,
b,10-Jun-15,987.4031008,186.2093023,,
b,17-Jun-15,740.0400802,117.6913828,,
b,24-Jun-15,680.1153846,85.01538462,,
b,1-Jul-15,1161.210856,330.1127349,,
b,8-Jul-15,699.9176955,182.7160494,,
b,15-Jul-15,617.1042471,149.0965251,,
b,22-Jul-15,904.0416667,210.225,,
b,29-Jul-15,603.6,180.912,,
b,5-Aug-15,629.2571429,218.5371429,,
b,12-Aug-15,630.0582524,154.0427184,,
b,19-Aug-15,582.3762376,121.8772277,,
b,26-Aug-15,800.7692308,169.3846154,,
