datecolct,m_est,b_agr,m_agr
15-May-15,995.3,2,2
16-May-15,1200.7,0,0
17-May-15,731,1,0
18-May-15,1233,0,0
19-May-15,1755.4,0,0
20-May-15,1111.3,1,0
21-May-15,862.2,4,0
22-May-15,774.8,1,0
23-May-15,1130.9,1,0
24-May-15,1354.2,1,0
25-May-15,829.7,4,0
21-May-15,970.4,1,0
27-May-15,909.5,1,0
28-May-15,757,1,1
29-May-15,497.5,1,0
30-May-15,697.7,0,0
3-Jun-15,836.4,5,0
4-Jun-15,736.9,5,3
5-Jun-15,694.2,1,0
6-Jun-15,617.6,5,2
7-Jun-15,1584.9,5,0
8-Jun-15,2816.7,5,3
9-Jun-15,1024.9,1,0
10-Jun-15,774,1,0
11-Jun-15,1144.1,5,0
12-Jun-15,1076.5,5,4
13-Jun-15,750.8,1,0
14-Jun-15,430.3,1,0
15-Jun-15,1209.7,2,1
16-Jun-15,1430.1,5,2
17-Jun-15,1308.2,1,0
18-Jun-15,1456.5,3,2
19-Jun-15,906.6,2,1
20-Jun-15,1383,3,1
21-Jun-15,965.6,1,0
21-Jun-15,886.5,2,0
22-Jun-15,1558.7,1,1
23-Jun-15,1604.5,2,1
24-Jun-15,892.8,3,0
25-Jun-15,643.1,0,0
26-Jun-15,981.5,1,0
27-Jun-15,491,3,0
28-Jun-15,944.4,5,2
29-Jun-15,1248,4,2
30-Jun-15,1617,1,1
1-Jul-15,1069,3,2
2-Jul-15,788,2,2
3-Jul-15,721.5,1,0
4-Jul-15,970.9,1,1
5-Jul-15,386.6,3,0
6-Jul-15,1270.6,2,0
7-Jul-15,715.6,3,1
8-Jul-15,457.3,4,1
