Explict question,zoo5,zoo1,wild5,wild1,dzoo5,dzoo1,dwild5,dwild1
43.1,7.1,4.8,6.5,5.2,0.99766,0.89976,0.89925,0.89976
43.2,3.9,4.3,3.6,4.4,0.99766,0.89976,0.89925,0.89976
43.3,4.5,6,5,5.8,0.99766,0.89976,0.89925,0.89976
43.4,5.5,7.4,6.6,7.4,0.99766,0.89976,0.89925,0.89976
45.1,7.4,7.4,7.7,7.2,0.99766,0.89976,0.89925,0.89976
45.2,4.6,4.6,4.5,4.5,0.99766,0.89976,0.89925,0.89976
45.3,4.3,3.8,3.8,3.9,0.99766,0.89976,0.89925,0.89976
45.4,5.2,5,5.2,5.4,0.99766,0.89976,0.89925,0.89976
47.1,8.4,7.3,7.6,7.5,0.99766,0.89976,0.89925,0.89976
47.2,4.3,4.5,4,4.5,0.99766,0.89976,0.89925,0.89976
47.3,4,4.8,4.6,3.9,0.99766,0.89976,0.89925,0.89976
47.4,5.5,5.8,6.3,5.4,0.99766,0.89976,0.89925,0.89976
48.1,7.7,7.1,7.2,7.1,0.99766,0.89976,0.89925,0.89976
48.2,4.2,4.4,4.1,4.4,0.99766,0.89976,0.89925,0.89976
48.3,4,4.2,4.6,4,0.99766,0.89976,0.89925,0.89976
48.4,5.1,5,5.1,4.8,0.99766,0.89976,0.89925,0.89976
49.1,5.2,4.9,5.5,4.6,0.99766,0.89976,0.89925,0.89976
49.2,5.2,4.7,5.2,4.7,0.99766,0.89976,0.89925,0.89976
49.3,3.5,4.3,4.9,3.7,0.99766,0.89976,0.89925,0.89976
49.4,9.2,8.6,9.1,8.8,0.99766,0.89976,0.89925,0.89976
49.5,9.5,8.8,9.5,8.8,0.99766,0.89976,0.89925,0.89976
dscore,,,,,,,,
